Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
03-01-2000,M&M,EQ,419.75,453.3,453.35,448.9,453.35,453.35,453.18,67195,3.04517E+12,,,
04-01-2000,M&M,EQ,453.35,489.6,489.65,489.6,489.65,489.65,489.65,37470,1.83471E+12,,,
05-01-2000,M&M,EQ,489.65,528.85,528.85,451.15,519,514.85,521.37,227621,1.18675E+13,,,
06-01-2000,M&M,EQ,514.85,528,550,518,521,524.55,538.27,198870,1.07046E+13,,,
07-01-2000,M&M,EQ,524.55,515,522,490,498.9,496.4,508.09,91052,4.62626E+12,,,
10-01-2000,M&M,EQ,496.4,509.9,535,491.7,495,497.2,509.86,83454,4.25501E+12,,,
11-01-2000,M&M,EQ,497.2,514,537,510.1,537,532.8,527.14,250382,1.31986E+13,,,
12-01-2000,M&M,EQ,532.8,540,550,490.2,490.2,490.25,515.33,136009,7.00898E+12,,,
13-01-2000,M&M,EQ,490.25,516,520,465.5,502.5,499,500.01,85954,4.29776E+12,,,
14-01-2000,M&M,EQ,499,500,525,490.1,519,519,510.06,79448,4.05236E+12,,,
17-01-2000,M&M,EQ,519,538,560.55,538,560.55,560.55,554.58,163004,9.03988E+12,,,
18-01-2000,M&M,EQ,560.55,570,595.95,550.25,590,573.95,567.55,293023,1.66305E+13,,,
19-01-2000,M&M,EQ,573.95,601,619.9,572,590,599.2,604.94,327481,1.98108E+13,,,
20-01-2000,M&M,EQ,599.2,597.95,597.95,566,575.75,572.35,579.85,107183,6.21503E+12,,,
21-01-2000,M&M,EQ,572.35,585,585,544,550,550,555.65,91545,5.08668E+12,,,
24-01-2000,M&M,EQ,550,539.1,549.9,511.25,516,514.7,529.17,45765,2.42175E+12,,,
25-01-2000,M&M,EQ,514.7,516,519.75,491.2,510,507.25,505.87,91169,4.61195E+12,,,
27-01-2000,M&M,EQ,507.25,540,540,475,502,499.3,505.17,92630,4.67938E+12,,,
28-01-2000,M&M,EQ,499.3,508,519.9,500,511,511.1,507.13,56869,2.88402E+12,,,
31-01-2000,M&M,EQ,511.1,507,517.5,500,506,507.75,509.54,39681,2.02191E+12,,,
01-02-2000,M&M,EQ,507.75,509,513.75,475,490,481.95,493.68,134808,6.65524E+12,,,
02-02-2000,M&M,EQ,481.95,500,520.55,498,520.55,520.55,515.8,89805,4.63214E+12,,,
03-02-2000,M&M,EQ,520.55,540,558.7,515.05,520,519.2,529.31,52038,2.75444E+12,,,
04-02-2000,M&M,EQ,519.2,516,522.9,501,507.25,509.2,512.06,31704,1.62343E+12,,,
07-02-2000,M&M,EQ,509.2,497,512.9,497,509,505.85,507.48,29028,1.47312E+12,,,
08-02-2000,M&M,EQ,505.85,514.9,546.35,514.9,546.35,546.35,532.57,121487,6.47001E+12,,,
09-02-2000,M&M,EQ,546.35,580,589,520,526.1,529.2,542.49,139867,7.58759E+12,,,
10-02-2000,M&M,EQ,529.2,535.25,571.55,535.25,571.55,571.25,567.65,383118,2.17479E+13,,,
11-02-2000,M&M,EQ,571.25,589,616.95,589,616.95,616.95,612.31,377618,2.31219E+13,,,
14-02-2000,M&M,EQ,616.95,659.5,664,620,645.25,653.8,650.22,424416,2.75962E+13,,,
15-02-2000,M&M,EQ,653.8,625,627.95,601.5,601.5,601.5,609.13,56309,3.42996E+12,,,
16-02-2000,M&M,EQ,601.5,609,610,553.4,553.4,553.4,559.29,18410,1.02964E+12,,,
17-02-2000,M&M,EQ,553.4,510.25,558.9,509.15,529.4,529.45,531.44,147757,7.85243E+12,,,
18-02-2000,M&M,EQ,529.45,525,538.5,490.2,500,496,510.45,217637,1.11093E+13,,,
21-02-2000,M&M,EQ,496,505,515,492,506,507.8,502.9,123665,6.2191E+12,,,
22-02-2000,M&M,EQ,507.8,491.25,520,491.25,514,515.4,507.46,252087,1.27925E+13,,,
23-02-2000,M&M,EQ,515.4,524,555,513,519,514.75,520.31,74152,3.85819E+12,,,
24-02-2000,M&M,EQ,514.75,525,554.8,504,517,513.8,527.05,158775,8.36822E+12,,,
25-02-2000,M&M,EQ,513.8,534,534,490,496,496.15,499.05,28254,1.41001E+12,,,
28-02-2000,M&M,EQ,496.15,490,513,476,507.05,510.25,497.5,62070,3.08797E+12,,,
29-02-2000,M&M,EQ,510.25,503,511.95,475,480,482.15,495.05,105911,5.24317E+12,,,
01-03-2000,M&M,EQ,482.15,490,490,444,461.95,460.45,465.49,86010,4.00366E+12,,,
02-03-2000,M&M,EQ,460.45,470,470.1,423.65,423.65,423.7,431.58,118070,5.0957E+12,,,
03-03-2000,M&M,EQ,423.7,390,399.9,389.95,395.5,391.35,392.85,144260,5.66728E+12,,,
06-03-2000,M&M,EQ,391.35,397.95,408.25,381.5,403.85,402.45,403.43,54213,2.1871E+12,,,
07-03-2000,M&M,EQ,402.45,393,395,370.25,370.25,370.3,374.13,37027,1.3853E+12,,,
08-03-2000,M&M,EQ,370.3,367.1,397,345,352,350.05,373.19,48887,1.82442E+12,,,
09-03-2000,M&M,EQ,350.05,353,353,322.05,322.05,322.05,324.85,57892,1.88062E+12,,,
10-03-2000,M&M,EQ,322.05,329,347.85,320,347.85,347.85,341.68,84915,2.90138E+12,,,
13-03-2000,M&M,EQ,347.85,353.7,375.7,345,375.7,375.7,369.04,67187,2.47946E+12,,,
14-03-2000,M&M,EQ,375.7,398.7,400.5,375,375,387.4,390.09,143127,5.58324E+12,,,
15-03-2000,M&M,EQ,387.4,384.9,384.9,356.45,356.45,356.45,358.76,16755,6.01109E+11,,,
16-03-2000,M&M,EQ,356.45,335,350,327.95,327.95,327.95,337.27,80436,2.71283E+12,,,
21-03-2000,M&M,EQ,327.95,328,354.2,323,354.2,350.45,351.76,74529,2.62164E+12,,,
22-03-2000,M&M,EQ,350.45,357,378.5,355,373.5,369.2,369.91,211467,7.82236E+12,,,
23-03-2000,M&M,EQ,369.2,380,382,339.7,339.7,339.7,355.21,27793,9.87242E+11,,,
24-03-2000,M&M,EQ,339.7,327.1,335,316,334.9,330.25,326.73,72299,2.36219E+12,,,
27-03-2000,M&M,EQ,330.25,335,352.95,335,340,339.65,343.29,83845,2.87829E+12,,,
28-03-2000,M&M,EQ,339.65,356.5,365,344.5,350,348.9,351.99,87565,3.08223E+12,,,
29-03-2000,M&M,EQ,348.9,358.5,370.5,348,350.5,351.45,357.77,151834,5.43213E+12,,,
30-03-2000,M&M,EQ,351.45,341.1,341.1,323.35,327.75,325.65,325.75,96674,3.14913E+12,,,
31-03-2000,M&M,EQ,325.65,324,324.95,308.5,321,317.85,315.11,164694,5.18963E+12,,,
03-04-2000,M&M,EQ,317.85,319,329,292.45,292.45,292.7,312.19,75503,2.35716E+12,,,
04-04-2000,M&M,EQ,292.7,271,305,269.3,296.3,296.7,285.39,201547,5.75192E+12,,,
05-04-2000,M&M,EQ,296.7,302,320.4,292.1,320.4,315.5,309.7,251775,7.7974E+12,,,
06-04-2000,M&M,EQ,315.5,320,324,297,316,314.4,305.41,207445,6.3355E+12,,,
07-04-2000,M&M,EQ,314.4,319,339.55,319,339.55,339.55,330.55,160458,5.30391E+12,,,
10-04-2000,M&M,EQ,339.55,340,364.95,340,355.6,355.15,355.39,207932,7.38979E+12,,,
11-04-2000,M&M,EQ,355.15,350,351,331.15,348,348.45,345.08,55588,1.91823E+12,,,
12-04-2000,M&M,EQ,348.45,345,345,321,325,322.85,329.24,83549,2.75073E+12,,,
13-04-2000,M&M,EQ,322.85,311,314.25,303,307.6,308.05,308.16,78098,2.40667E+12,,,
17-04-2000,M&M,EQ,308.05,295.25,295.25,283.45,283.65,283.8,283.94,142306,4.04069E+12,,,
18-04-2000,M&M,EQ,283.8,290,294.95,275.2,283,280,283.28,108874,3.08417E+12,,,
19-04-2000,M&M,EQ,280,289,296.6,280,285.1,283.75,285.72,55738,1.59255E+12,,,
20-04-2000,M&M,EQ,283.75,279,290,266,282,282.25,277.26,64949,1.80079E+12,,,
24-04-2000,M&M,EQ,282.25,271.5,284.5,271.5,279.8,280.2,279.05,24294,6.77915E+11,,,
25-04-2000,M&M,EQ,280.2,273,302.35,267.25,300,293.55,280.45,70822,1.98624E+12,,,
26-04-2000,M&M,EQ,293.55,311,311,294.5,308,308.45,303.76,52670,1.59992E+12,,,
27-04-2000,M&M,EQ,308.45,315,317,283.8,283.8,283.8,289.58,44511,1.28895E+12,,,
28-04-2000,M&M,EQ,283.8,283,283,261.1,272,269,269.26,72450,1.95081E+12,,,
02-05-2000,M&M,EQ,269,269,272,251,269.05,267.35,264.23,82184,2.17154E+12,,,
03-05-2000,M&M,EQ,267.35,260,275,256.1,267,266.8,265.51,32704,8.68335E+11,,,
04-05-2000,M&M,EQ,266.8,266,277,265,271,270,270.79,426418,1.15469E+13,,,
05-05-2000,M&M,EQ,270,275,302.4,272,299,298.75,292.44,436455,1.27635E+13,,,
08-05-2000,M&M,EQ,298.75,305,312,278,280,281.5,287.76,86697,2.49483E+12,,,
09-05-2000,M&M,EQ,281.5,273.5,275.9,264,275.25,272.8,270.97,98624,2.67241E+12,,,
10-05-2000,M&M,EQ,272.8,279.9,279.9,260,264,261.8,265.69,104533,2.77733E+12,,,
11-05-2000,M&M,EQ,261.8,252,257.95,230.4,230.4,230.4,239.8,150820,3.61673E+12,,,
